City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
254,Nevelsk,RU,46.6733,141.8633,15.87,79,100,19.86,light snow
255,Divnogorsk,RU,55.9594,92.3619,3.74,93,100,7.49,light snow
256,Port Pirie,AU,-33.1833,138.0167,73.54,43,8,14.92,clear sky
257,Kahului,US,20.8947,-156.47,77.85,90,0,6.91,clear sky
258,Bajil,YE,15.0584,43.2851,85.14,51,1,4.32,clear sky
259,Alta Floresta,BR,-9.8756,-56.0861,67.53,99,91,1.86,overcast clouds
260,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,93,100,24.16,light rain
261,Coquimbo,CL,-29.9533,-71.3436,60.53,88,100,5.75,overcast clouds
262,Bambous Virieux,MU,-20.3428,57.7575,82.65,57,40,13.8,scattered clouds
263,Erzin,TR,36.9559,36.2,65.16,59,100,1.43,overcast clouds
264,Nanortalik,GL,60.1432,-45.2371,25.74,71,22,28.83,few clouds
265,Umtata,ZA,-31.5889,28.7844,87.06,34,100,4.59,overcast clouds
266,Palu,ID,-0.8917,119.8707,83.7,77,99,3.47,overcast clouds
267,Porto-Vecchio,FR,41.591,9.2795,47.86,76,75,8.05,broken clouds
268,Gat,IL,31.61,34.7642,73.78,32,0,1.23,clear sky
269,Christchurch,NZ,-43.5333,172.6333,59.2,63,75,16.11,broken clouds
270,Pasighat,IN,28.0667,95.3333,79.99,37,1,3.33,clear sky
271,Passos,BR,-20.7189,-46.6097,62.37,92,100,2.98,light rain
272,Inhapi,BR,-9.2214,-37.7486,71.01,84,82,3.38,light rain
273,Mabaruma,GY,8.2,-59.7833,69.28,97,27,0.49,scattered clouds
274,Japura,ID,-0.3167,102.35,83.08,72,100,2.75,overcast clouds
275,Faya,SA,18.3851,42.4509,68.52,36,0,1.19,clear sky
276,Tateyama,JP,34.9833,139.8667,52.11,84,100,13.91,overcast clouds
277,La Sarre,CA,48.8002,-79.1996,23.88,92,100,16.8,light snow
278,Worland,US,44.0169,-107.9554,33.15,85,0,0.0,clear sky
279,Falmouth,GB,50.1544,-5.0711,49.66,80,40,4.61,scattered clouds
280,Bonthe,SL,7.5264,-12.505,77.11,89,42,4.43,scattered clouds
281,Katobu,ID,-4.9408,122.5276,83.98,70,92,7.07,overcast clouds
282,Bada,RU,51.392,109.8717,4.82,86,100,15.99,overcast clouds
283,Ola,RU,59.5833,151.2833,20.91,68,100,9.86,light snow
284,Ekhabi,RU,53.5102,142.9671,0.18,82,100,20.22,overcast clouds
285,Sao Filipe,CV,14.8961,-24.4956,74.08,66,100,8.41,overcast clouds
286,Hambantota,LK,6.1241,81.1185,83.68,70,65,9.98,broken clouds
287,Freeport,US,40.6576,-73.5832,39.96,55,0,19.57,clear sky
288,Porto Novo,BJ,6.4965,2.6036,81.3,74,10,2.1,clear sky
289,Guararapes,BR,-21.2608,-50.6428,68.2,79,41,4.65,light rain
290,Ponta Delgada,PT,37.7333,-25.6667,59.5,82,75,9.22,broken clouds
291,Bengkulu,ID,-3.8004,102.2655,80.42,75,100,3.74,overcast clouds
292,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,83,3,5.5,clear sky
293,Guerrero Negro,MX,27.9769,-114.0611,57.58,82,2,8.55,clear sky
294,Dzaoudzi,YT,-12.7887,45.2699,85.89,66,0,6.91,clear sky
295,Yabelo,ET,4.8833,38.0833,73.15,29,56,20.76,broken clouds
296,Semnan,IR,35.5729,53.3971,56.1,41,93,3.13,overcast clouds
297,Kalmunai,LK,7.4167,81.8167,83.03,71,100,7.87,overcast clouds
298,Shakawe,BW,-18.3667,21.85,87.94,19,0,9.8,clear sky
299,Henties Bay,NA,-22.116,14.2845,64.45,78,16,7.23,few clouds
300,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,17.27,light rain
301,Nemuro,JP,43.3236,145.575,30.67,45,1,19.06,clear sky
302,Daru,PG,-9.0763,143.2092,84.11,73,100,1.19,overcast clouds
303,Kavieng,PG,-2.5744,150.7967,82.67,72,93,4.68,light rain
304,Puerto Ayacucho,VE,5.6639,-67.6236,70.84,90,71,8.41,broken clouds
305,Chabahar,IR,25.2919,60.643,80.22,36,52,5.32,broken clouds
306,Mawlaik,MM,23.6333,94.4167,88.14,46,7,2.64,clear sky
307,Kamaishi,JP,39.2667,141.8833,38.52,85,100,3.02,overcast clouds
308,Olafsvik,IS,64.8945,-23.7142,42.42,83,100,33.84,overcast clouds
309,Port Huron,US,42.9709,-82.4249,28.63,62,100,17.27,overcast clouds
310,Lompoc,US,34.6391,-120.4579,52.79,94,100,0.0,overcast clouds
311,Diego De Almagro,CL,-26.3667,-70.05,54.21,85,0,2.75,clear sky
312,Saint Leonard,CA,47.173,-67.9247,35.92,97,100,12.01,light snow
313,Llanes,ES,43.4198,-4.7549,50.11,73,0,11.27,clear sky
314,Malindi,KE,-3.2175,40.1191,83.62,68,100,9.48,light rain
315,Todos Santos,MX,23.45,-110.2167,66.65,93,0,5.21,clear sky
316,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,70.39,97,100,3.53,overcast clouds
317,Kodinsk,RU,58.6881,99.1844,2.41,87,100,7.83,overcast clouds
